locality,latitude,longitude
"Peerzadiguda, Hyderabad, Telangana, India",17.3990571,78.6098059
"Bhaskarapuram, Mylapore, Chennai, Tamil Nadu, Indi",13.034938,80.260827
"M S R Nagar, Mathikere, Bengaluru, Karnataka, Indi",13.0384214,77.5626584
"Yeshwanthpur, Bengaluru, Karnataka, India",13.0279661,77.5409156
"Subhanpura, Vadodara, Gujarat, India",22.3221291,73.1584567
"Govind Nagar, Malad East, Mumbai, Maharashtra, Ind",19.1777575,72.8511787
"Basai Darapur, New Delhi, Delhi, India",28.6561747,77.133416
"Pashan, Pune, Maharashtra, India",18.5415099,73.7924769
"Madangir, New Delhi, Delhi, India",28.5199221,77.2304564
Daulatpura,28.650893,77.4377902
"Govindpuri, Modinagar, Uttar Pradesh, India",28.8560574,77.5877318
"CIT Nagar, Chennai, Tamil Nadu, India",13.0311989,80.2277232
Balbir Nagar,28.6837177,77.2904378
"Banashankari, Bengaluru, Karnataka, India",12.9254533,77.546757
"Laxmi Garden, Sector 11, Gurugram, Haryana",28.4514004,77.0168634
"Babu Banarasi Das University, Faizabad Road, Atif ",26.8888142,81.0590309
"Nirala nagar, Juhi, Kanpur, Uttar Pradesh, India",26.4426133,80.3116515
Vaishali Nagar,26.9047751,75.7488641
Mandawali,28.6248312,77.2924995
"Virat Khand 2, Lucknow, Uttar Pradesh, India",26.8531448,81.0195629
"Sector 99, Noida, Uttar Pradesh, India",28.5442788,77.3590017
"Islam Ganj, Jalandhar, Punjab, India",31.3257331,75.573519
Sector 71,28.5996207,77.3736349
Palla Pull,28.4712295,77.3181285
"Lake Town, Kolkata, West Bengal, India",22.6034933,88.4039965
"Inox, patrapada, Kalinga Vihar, Patrapada, Bhubane",20.2364668,85.7556542
"Gomti Nagar Extension, Lucknow, Uttar Pradesh, Ind",26.862338,81.0199613
Sukhdev Vihar Okhla,28.5570172,77.2762863
"Muniswara Nagar, Hegganahalli, Bengaluru, Karnatak",13.0018899,77.5232461
"Hari Nagar Ashram, South Delhi",28.5736253,77.2559612
"Phase 1 Industrial Area, Chandigarh, India",30.7021049,76.8000091
Mitra Enclave,28.4513289,77.5010259
Dundahera,28.6312471,77.4372084
"Gadital, Hadapsar, Pune, Maharashtra, India",18.5009698,73.9429625
Jhilmil Metro Station,28.6757994,77.3124192
Alpha II,28.4808184,77.5177682
"Sector 57A, Gurgaon",28.4192983,77.0804305
"Doddanekundi, Bengaluru, Karnataka, India",12.9720888,77.694364
Ali,28.5166081,77.3090827
Kamla Nagar,28.6809111,77.2045867
"Sector 7, Chandigarh, India",30.7350091,76.8043355
Sector Omega 1,28.4512807,77.5122905
"Dockyard Road, Railway Colony, Mazgaon, Mumbai, Ma",18.9681452,72.8439937
Palam Vyapar Kendra Sector 2,28.5085332,77.0314163
"Guru Ki Wadali, Amritsar, Punjab, India",31.6127942,74.7988017
Greater Kailash Ii,28.53536,77.2419522
Abul Fazal Enclave I,28.5555313,77.2958239
Cvd Line,28.6004241,77.1125599
Katwaria Sarai,28.5411219,77.1894934
"Waghbil, Thane West, Thane, Maharashtra, India",19.2660464,72.9845498
Sector 36,28.5712415,77.3482352
"Krishi Upaj Mandi, Maderana Colony, Jodhpur, Rajas",26.321442,73.0485409
"Lajpat Nagar, Ludhiana, Punjab, India",30.9385699,75.8596843
"Miyawala, Uttarakhand, India",30.2669664,78.0908651
"Tankapani Road, Nageswar Tangi, Old Town, Bhubanes",20.2446763,85.8388234
"Malabar Hill, Mumbai, Maharashtra, India",18.9547975,72.7984522
"Thane Station Road, Jambli Naka, Thane West, Thane",19.1919353,72.9773337
"New Sama Road, Swati Society, Raghuvir Nagar, Gyan",22.3423716,73.1875031
"New Palasia, Indore, Madhya Pradesh, India",22.724355,75.8838944
"JP Nagar 8th Phase, J. P. Nagar, Bengaluru, Karnat",12.8741077,77.5791729
"Jallianwala Bagh, Jallan Wala Bagh, Katra Ahluwali",31.6206437,74.8801088
Westend Hights Sector 43,28.44877,77.093644
Dlf Phase 3,28.4916812,77.094897
Mukerjee Nagar,28.705484,77.2035219
"Trinagar,Ashok Vihar",28.6810247,77.175836
Sector 17,28.4791609,77.0593246
"West Marredpally, Secunderabad, Telangana, India",17.4523906,78.5060029
"Kashimira, Mira Road East, Mira Bhayandar, Maharas",19.2798752,72.8855163
Dichaon Kalan,28.6413612,76.9840178
"Kalkere, Bengaluru, Karnataka, India",13.0334934,77.673888
"Okhla Vihar, Okhla Vihar, Block D, Jamia Nagar, Ok",28.5549874,77.2900787
"Chaman Garden, Karnal, Haryana, India",29.6926696,76.9707869
Sector 70,28.3457267,77.3467996
"Vipul Khand 5, Gomti Nagar, Lucknow, Uttar Pradesh",26.8442653,80.9885911
"Kukatpally Metro Parking, Shanthi Nagar, Kukatpall",17.4839349,78.4127826
Daultabad,28.5006588,76.9923875
"Jalahalli West, Bengaluru, Karnataka, India",13.0612203,77.5192657
"Pest Control Waghbil, Sandoz Baug, Thane West, Tha",19.2392834,72.9873924
"Sector 20, Gurgaon",28.5090412,77.0866646
"Punjagutta, Hyderabad, Telangana, India",17.4245199,78.4511272
"Goregaon East, Mumbai, Maharashtra, India",19.1551485,72.8678551
"Sultanwind, Amritsar, Punjab, India",31.6014043,74.9062622
Ajmeri Gate Extn. Post Office,28.643671,77.228696
"Kalkaji, New Delhi, Delhi, India",28.5399515,77.2591579
"Sonapur, Bhandup West, Mumbai, Maharashtra, India",19.1610323,72.9357215
"Sona Nagar Society, D-Cabin, Chandkheda, Ahmedabad",23.109873,72.57595
Sector 27,28.5750829,77.328135
"Sector 2, Gurgaon",28.5095068,77.0319784
Karol Bagh,28.6527809,77.1921441
Palika Bazar,28.630627,77.218534
"South City Mall, Prince Anwar Shah Road, South Cit",22.501714,88.3617386
Zeta I,28.5001953,77.5246795
"Sector 119, Noida, Uttar Pradesh, India",28.5878501,77.4027753
Sector 46,28.5522379,77.3597194
"Urbtech NPX, Sector 153, Noida, Gautam Buddha Naga",28.4488928,77.4731585
"Ayyappa Nagar, Krishnarajapura, Bengaluru, Karnata",12.9998189,77.7151616
"Japanese Garden, Sector 31 A, Sector 31, Chandigar",30.7045255,76.7842513
"BWSSB, Jayanagar, Bengaluru, Karnataka, India",12.9307386,77.5834719
"Vrindavan Colony, Lucknow, Uttar Pradesh, India",26.7653618,80.9589097
"Althan Char Rasta, Apcha Nagar, Surat, Gujarat, In",21.1462839,72.8053786
"Sector 7 Jasola Vihar, Pocket 7",28.5419877,77.2975971
"Sarojini Nagar, South Delhi",28.5757137,77.1990075
"Rajpur Road, Kandoli, Dehradun, Uttarakhand, India",30.35776,78.0665566
"Mogalrajapuram, Christurajupuram, Vijayawada, Andh",16.5059513,80.6451779
"Panchanan Tala, Behala, Kolkata, West Bengal, Indi",22.5030916,88.3160344
"Railway Colony, Tughlakabad",28.5054158,77.2932655
"Lal Darwaja, Ahmedabad, Gujarat, India",23.0263517,72.5819013
"Margondanahalli, Bengaluru, Karnataka 560036, Indi",13.0373995,77.692721
Lajpat Nagar 3,28.5674276,77.2397968
"Jhalwa, Prayagraj, Uttar Pradesh, India",25.4347119,81.7650299
"Basant Vihar Colony, Lucknow, Uttar Pradesh, India",26.8698926,80.8938099
"Bagmugaliya, Bhopal, Madhya Pradesh, India",23.1910036,77.4730653
Delta I,28.4816609,77.5261129
"Shobha Hospital, 30, Nagarabhavi Main Road, CHBS L",12.9755518,77.5313312
Sector 76,28.3697864,77.358284
"Burdwan Compound, Lalpur, Ranchi, Jharkhand, India",23.373434,85.338819
"Manjidana Colony, Nagpur, Maharashtra, India",21.1821958,79.0489685
"Satav Nagar, Undri, Pune, Maharashtra, India",18.4761214,73.9304711
"K K V Hall, Royal Park, Rajkot, Gujarat",22.2857183,70.7709867
"Ghukna, Ghaziabad, Uttar Pradesh, India",28.6908936,77.4156889
"Sunny Enclave, Patiala, Punjab, India",30.3182947,76.4244916
Main Market,28.6468173,77.1199319
"Rajat Nagar, East Kamla Nagar, Ayodhya Bypass, Bho",23.25848,77.4705557
"Mundi Kharar, Mohali, Punjab, India",30.7441945,76.6614853
"Sonarpura, Varanasi, Uttar Pradesh, India",25.2990614,83.004915
"Lahartara, Bazardiha, Varanasi, Uttar Pradesh, Ind",25.316335,82.9730056
"BT Kawde Road, Palmgrove Society, Ghorpadi, Pune, ",18.5166728,73.9069414
Shahdara,28.6987568,77.2925771
"Savarkar Nagar, Thane West, Thane, Maharashtra, In",19.207684,72.9538076
Greater Noida West,28.6266246,77.3847421
"Kuntloor, Telangana, India",17.3385273,78.6255225
"Newtown, Kolkata, West Bengal, India",22.5753931,88.4797903
"Jahidpur, Meerut, Uttar Pradesh, India",28.9267486,77.7244626
"Marufganj, Patna, Bihar, India",25.5871716,85.2337869
"Abhyudaya Nagar, Saibaba Nagar, Kismatpur, Telanga",17.345703,78.3826855
"Bhaili, Gujarat, India",22.2659588,73.1305349
Neb Sarai,28.5049596,77.2088987
"Upkar Nagar, Civil Lines, Ludhiana, Punjab, India",30.9218052,75.8337855
"Kamta, Lucknow, Uttar Pradesh, India",26.8813041,81.01473
Kotla Mubarakpur,28.5754899,77.2273691
Sector 10,28.3767392,77.3252633
"Tondiarpet, Chennai, Tamil Nadu, India",13.1261062,80.2879959
Gujaranwala Town,28.7005219,77.1889476
"Jiyaji Chowk, Gwalior, Madhya Pradesh, India",26.2018613,78.1457539
"Near Board Office, No 6 Locality, Maharana Pratap ",23.2304771,77.4306633
"Kalindi Vihar, Agra, Uttar Pradesh, India",27.2251967,78.0576893
"Frazer Town, Bengaluru, Karnataka, India",12.9971503,77.6142558
"Miraya Hotel WhiteField Bengaluru, Siddapura, Whit",12.95614,77.7342668
"Progressive Society, Sector 50, Chandigarh, India",30.7006483,76.7516874
"Bhayander West, Mira Bhayandar, Maharashtra, India",19.3017788,72.8502601
"Virar East, Virar, Maharashtra, India",19.4608988,72.8181516
"Bhoo Samartha Layout, Bharathi Nagar, Krishnarajap",13.0165716,77.7256072
"Kharar Bus Stand, Kharar - Kurali Road, Guru Teg B",30.7505159,76.6401003
"Chittinagar Tunnel, RTC Colony, Vijayawada, Andhra",16.531823,80.6091228
"Thakurwadi, Shastri Nagar, Dombivli West, Dombival",19.2213773,73.079495
"Kachnar City, Vijay Nagar, Jabalpur, Madhya Prades",23.1919285,79.9022742
"Sunderbagh, Maqbool Ganj,LUCKNOW",26.8405644,80.9303383
"Sanjay Place, Civil Lines, Agra, Uttar Pradesh, In",27.1986569,78.0059814
Tughlakabad Extension,28.5205239,77.2570535
Dwarka Sector 5,28.5980218,77.0578855
"Aatif Nagar, Tandalja, Vadodara, Gujarat, India",22.2866295,73.1399393
"Arjun Nagar, Jalandhar, Punjab, India",31.3258769,75.5931643
"Sahastradhara Road, Govind Vihar, Dehradun, Uttara",30.359331,78.0887722
"Khetwadi, Grant Road, Mumbai, Maharashtra, India",18.9581018,72.8233148
"Khandwa Naka, Sector B, Rani Bagh Main, Indore, Ma",22.67376,75.879832
"National College Jayanagar Play Ground, 7th Block,",12.9254557,77.5788688
Sector 52,28.3554475,77.2821787
"SJP Layout, Channasandra, Bengaluru, Karnataka, In",12.9772302,77.7677376
"JP Academy, Meerut, Uttar Pradesh, India",29.0191421,77.7633305
"Hitech City MMTS Station Park, Bhagyanagar Colony,",17.4693603,78.3870954
"Juinagar, Navi Mumbai, Maharashtra, India",19.0506956,73.0154376
"Changurabhata Bazar Chowk, Changurabhata, Raipur, ",21.2277332,81.6041962
Jail Road,28.6236484,77.1020656
"Ramwadi, Ganeshpeth Colony, Nagpur, Maharashtra, I",21.1404383,79.1022785
Sector 3 Dwarka,28.6078176,77.0406147
"Prayagraj, Uttar Pradesh, India",25.4358011,81.846311
"Sarakki Gate, 1st Phase, J. P. Nagar, Bengaluru, K",12.9088129,77.5738776
"Lakshmamma Layout, Banaswadi, Bengaluru, Karnataka",13.0134236,77.6555729
"Judicial Colony, Raj Mahal Vilas 2nd Stage, Sanjay",13.0330218,77.5751958
"Gurnam Nagar, Amritsar, Punjab, India",31.6068813,74.899685
"Sadar Bazar, Mathura, Uttar Pradesh, India",27.4919276,77.6979885
Sector 29,28.4339049,77.3223915
Mukherjee Nagar,28.705484,77.2035219
Roop Nagar,28.6855831,77.2009932
"Jaganpura, Ramkrishan Nagar, Patna, Bihar, India",25.5815647,85.1512692
"Almasguda Road, Triveninagar, Visaka Nagar, Badang",17.3093152,78.5328389
"Indira Nagar, Undri, Pune, Maharashtra, India",18.4679987,73.9323081
"Banjara Hills Road Number 10, Bit Nagar, Banjara H",17.4085908,78.430828
PI,28.473069,77.5418791
"Tarapuri Colony, West Hanuman Nagar, Boduppal, Hyd",17.4213884,78.5919883
"Ashok Vihar, Kanhaiya Nagar",28.683223,77.16414
"Ramagondanahalli, Whitefield, Bengaluru, Karnataka",12.9558171,77.7409162
"Harbans Mohal, Mirpur, Kanpur, Uttar Pradesh, Indi",26.4602327,80.3584312
Mohan Nagar,28.672818,77.3862836
"Shela Road, Shela, Gujarat, India",23.0023859,72.4547714
"BSA Road, Anandpuri, Mathura, Uttar Pradesh, India",27.4933696,77.6725942
"Konadasapura, Bengaluru, Karnataka, India",13.045534,77.7536499
"Devipura-1, Bulandshahr, Uttar Pradesh, India",28.4119429,77.8560234
"Velachery, Dr.Ambedkar Nagar, Velachery, Chennai,",12.9921636,80.209572
"Mahaveer Nagar, Kota, Rajasthan, India",25.1372392,75.837057
"Prem Nagar, Dehradun, Uttarakhand 248007, India",30.3343789,77.959588
Sector 70,28.3967953,77.0233415
"Borivali East, Mumbai, Maharashtra, India",19.2240612,72.8666469
Sector 15,28.5820607,77.3109035
"Rohini, Sector 11, Delhi",28.7360107,77.1107618
New Jyoti Park,28.4615072,77.0064257
"Sector 92, Gurugram, Haryana, India",28.407854,76.9153281
"Amar Shaheed Path, Eldeco II, Lucknow, Uttar Prade",26.7710732,80.9536252
"Deepali Nagar, Nashik, Maharashtra, India",19.982591,73.7838215
"Saidulajab, Saket",28.5191697,77.2120665
Sector 37,28.4796854,77.3122402
Anaj Mandi,28.4208812,77.3209056
"Sector 83, Gurugram, Haryana, India",28.3985667,76.9646908
"Hyderabad Gate, Banaras Hindu University, Varanasi",25.2617554,82.9816562
"Peerzadiguda Municipal corporation, Peerzadiguda R",17.3953071,78.5921825
Mohan Garden,28.6338877,77.0356152
"Sector 69, Mohali, Punjab, India",30.692499,76.7206652
Roshanara Road,28.6776841,77.205145
Mahabir Nagar,28.6342693,77.0845064
Sector 51,28.578603,77.3654611
"Sambhalki, Sahibzada Ajit Singh Nagar, Punjab, Ind",30.6670432,76.6997389
Rajokri,28.5125329,77.1109813
"Rohini, Sector 14",28.7112672,77.1326969
"Phase 1, Dugri, Ludhiana, Punjab, India",30.8590694,75.8446802
"Sector 45, Gurugram, Haryana, India",28.4452895,77.0650809
"BHU, Ajagara, Varanasi, Uttar Pradesh, India",25.2677203,82.9912582
"Alwal, Secunderabad, Telangana, India",17.4967016,78.5066233
"Sector 61, Sonipat, Haryana, India",28.9035695,77.1226288
"BEL Layout, Vidyaranyapura, Bengaluru, Karnataka, ",13.0734129,77.5554935
Vasant Apartment Sector 13,28.4699551,77.038562
"Dhakoli, Zirakpur, Mohali, Punjab, India",30.6543523,76.8451904
Islampur,28.4354839,77.037736
"Jamalpur, Aligarh, Uttar Pradesh, India",27.9239358,78.0780299
Sector 9,28.3733754,77.335314
"Mukundpur, Delhi, India",28.7405354,77.1819182
"Kalinganagar, Bhubaneswar, Odisha, India",20.270059,85.7590851
"LHS sonipat, Sonipat, Haryana, India",29.025783,77.013122
Dabri,28.6096751,77.0895421
Chittaranjan,28.535291,77.2509375
"Himayat Nagar, Hyderabad, Telangana, India",17.4020637,78.4840052
"Alfa Gardens, Krishnarajapura, Bengaluru, Karnatak",13.0059145,77.7214606
"New Shiv Puri, Ludhiana, Punjab, India",30.931875,75.8548479
"Ram Tirath Rd, Canal Colony, Amritsar, Punjab, Ind",31.6367223,74.84777
"Samrat Ashok Park, Harthala, Moradabad, Uttar Prad",28.8740635,78.7478689
"East Mohan Nagar, Amritsar, Punjab 143001, India",31.6177155,74.8923676
"Balewadi Gaon, Balewadi, Pune, Maharashtra, India",18.5762921,73.7786739
"Kasba, Kolkata, West Bengal, India",22.5195362,88.3827505
"Rohini, Sector 9, Delhi",28.7161663,77.1240672
"Khuni Majra, Mohali, Punjab, India",30.7198207,76.6441591
"Shriji Shivasha Estate, Mathura, Uttar Pradesh, In",27.4954133,77.6298439
"Kalidas Road, Shakti Colony, Dehradun, Uttarakhand",30.3383972,78.0452129
"Hyderguda, Hyderabad, Telangana, India",17.3938227,78.4834733
"Shivane, Pune, Maharashtra, India",18.4661665,73.7821672
"Santoshpur, Kolkata, West Bengal, India",22.4892926,88.3887629
"Lalbagh West Gate, Rashtriya Vidyalaya Road, Vishw",12.9496171,77.5799114
Galleria Market,28.467223,77.082053
"Sector 100, Noida, Uttar Pradesh, India",28.5452415,77.3679479
Sector 68,28.6068551,77.3912953
"Lalaram Nagar, Indore, Madhya Pradesh, India",22.7140111,75.890429
"JP Nagar 7th Phase, Bengaluru, Karnataka, India",12.8873185,77.5780751
"Toli Chowki, Hyderabad, Telangana, India",17.3990023,78.4156933
"Namak Factory Chauraha, Rawatpur Gaon, Kanpur, Utt",26.4773282,80.2829731
Sector 75,28.368709,77.3467996
Mahesh Nagar,26.8787862,75.7841892
"Vanasthalipuram Road, GR Real State, Prashanth Nag",17.3358164,78.5741063
Kailash Colony,28.5534601,77.2425807
"Aashirwad Colony, Kolar Road, Bhopal, Madhya Prade",23.1752308,77.4135367
"Arya Nagar, Haridwar, Uttarakhand, India",29.923046,78.1186694
"Kadamwadi, Vakola, Santacruz East, Mumbai, Maharas",19.0785189,72.857825
Tilak Nagar,26.8945243,75.8213018
Rithala,28.7191961,77.1006616
"Chandra Nagar, Moradabad, Uttar Pradesh, India",28.8507136,78.7511631
"Sector 14, Panchkula, Haryana, India",30.6798774,76.844708
"Lohia Nagar, Ghaziabad, Uttar Pradesh, India",28.6740045,77.4343394
"Mangla Vihar 2, Kanpur Nagar, Uttar Pradesh, India",26.4003474,80.3735204
"Kanke Road, Jawahar Nagar, Hatma, Ranchi, Jharkhan",23.3952848,85.3143147
"Kolathia, Khandagiri, Bhubaneswar, Odisha, India",20.2549459,85.7781977
Gazipur,28.6286586,77.3207839
"Etah Chungi, Aligarh, Uttar Pradesh, India",27.87402,78.0930041
"Navy Nagar, Colaba, Mumbai, Maharashtra, India",18.8979567,72.8131432
"Iskcon Temple, Saiyed Vasna, Vadodara, Gujarat, In",22.308433,73.145991
Subhash Nagar,28.6339059,77.1209838
"Tarun Nagar, Guwahati, Assam, India",26.1632877,91.7743263
"Matiyari, Adarsh Nagar, Lucknow, Uttar Pradesh, In",26.8860784,81.0394429
"Sector 31, Gurgaon",28.453807,77.0492504
"Sector 16, Chandigarh, India",30.7464418,76.7783748
"Anna Nagar, Chennai, Tamil Nadu, India",13.0849557,80.2101342
"Karkhana, Secunderabad, Telangana, India",17.4614542,78.5004381
"Saharanpur, Uttar Pradesh, India",29.9680035,77.5552066
Sector 15A,28.5760515,77.3080313
"Charholi Budruk, Maharashtra, India",18.6537243,73.9077474
"Vakson Colony, Model Town, Sonipat, Haryana, India",28.9815349,77.0253208
"Jyoti Nagar, Karnal, Haryana, India",29.6888199,76.9607054
Rohini Sector 15,28.7309194,77.1277312
"Mangalmurti Nagar, Nashik, Maharashtra, India",19.9710838,73.8308789
"Bajaria, Nagpur, Maharashtra, India",21.151908,79.0920425
South Extension I,28.5732907,77.2219418
Dwarka Sector 6,28.5928446,77.0636419
"Brahmand, Thane West, Thane, Maharashtra, India",19.2457714,72.9800115
Shanti Nagar Sector 15-1,28.4491437,77.0241387
"Krishna Nagar, Mathura, Uttar Pradesh, India",27.5009243,77.6598626
"Banerjee Para Road, New Panchanantala, Paschim Put",22.4808819,88.3430049
"Vasant Vihar, Baner, Pune, Maharashtra, India",18.5596735,73.7738939
"Kalas Malwadi, Khadki, Pune, Maharashtra, India",18.5679466,73.865079
"Patia Station Road, Patia, Bhubaneswar, Odisha, In",20.3528029,85.8351016
"Vikas Nagar, Lucknow, Uttar Pradesh, India",26.8968329,80.9608569
"Marathahalli, Bengaluru, Karnataka, India",12.9591722,77.697419
"Kokane Chowk, Pimple Saudagar, Pimpri-Chinchwad, M",18.59684,73.791241
"Birla Nagar, Gwalior, Madhya Pradesh, India",26.2359851,78.1889814
East Kidwai Nagar,28.5721353,77.2139292
"Rishi Nagar, Kalyan Nagar, Sonipat, Haryana, India",28.9956815,77.018303
Jasola,28.5473444,77.2891216
"Gol Market, Saket, Meerut, Uttar Pradesh, India",28.9879226,77.7273888
Punjabi Bagh,28.673751,77.1273376
"Afzal Gunj, Hyderabad, Telangana, India",17.3739335,78.4702215
"Civil Lines, Ludhiana, Punjab, India",30.9149621,75.830984
"Nayapalli Police Station, Bhanumati Road, Indradha",20.2905166,85.8153878
The National Media Center,28.5003416,77.093139
"Putlibowli, Jam Bagh, Hyderabad, Telangana, India",17.3808016,78.481943
"Central Market Road, Sector 3, Tejgarhi, Meerut, U",28.9637408,77.728749
"Baguiati, Kolkata, West Bengal, India",22.6137645,88.4305721
"Rajkot S.T Bus Stand, Karanpara, Rajkot, Gujarat",22.29147,70.801878
"Maya Garden City, Zirakpur, Zirakpur, Punjab, Indi",30.626492,76.8272005
"Hakimpet Bridge, IAS Colony, Hakimpet, Hyderabad, ",17.4030706,78.4171717
Sunder Vihar,28.6641293,77.0895421
"Magdalla, Surat, Gujarat, India",21.1370873,72.7601628
"Dondaparthy, Railway New Colony, Visakhapatnam, An",17.7272349,83.3021004
"New Sangvi, Pimpri-Chinchwad, Maharashtra, India",18.5793178,73.8142604
"Aravind Nagar Colony, Toli Chowki, Hyderabad, Tela",17.400854,78.4076841
"Guddadahalli, Bengaluru, Karnataka, India",12.9577974,77.5461785
"Sarojini Nagar, Lucknow, Uttar Pradesh, India",26.7459826,80.8626864
"Vasanth Nagar, Bengaluru, Karnataka, India",12.9910869,77.5920295
"Kalpana Road, Kalpana Square, Pandav Nagar, Bhuban",20.2539562,85.8489923
"Saroj Nagar, Nagpur, Maharashtra, India",21.1695104,79.0348416
"Shri Rampura, Bengaluru, Karnataka, India",12.995099,77.5658649
Sector 101,28.5541284,77.3798142
"Bajrangpuri Road, Biscomaun Colony, Bajrangpuri, P",25.6052624,85.1955201
"Mahesh Nagar, Indore, Madhya Pradesh, India",22.7167369,75.8395961
"Shahjahanabad, Bhopal, Madhya Pradesh, India",23.2711877,77.3970354
Swarn Nagri,28.4589484,77.5289797
Sheikh Sarai,28.5363155,77.2218338
"Mallepally, Hyderabad, Telangana, India",17.389285,78.4588539
"Burtolla Police Station, Raja RajKrishna Street, S",22.5925393,88.3709657
"Dalibagh Colony, Lucknow, Uttar Pradesh, India",26.8492608,80.9587842
"Sabrinagar, Sahakar Nagar, Bengaluru, Karnataka, I",13.0693308,77.5899383
Hauz Khas,28.5494489,77.2001368
Rajendra Park Sector 105,28.492663,77.0060658
Kakrola,28.6076674,77.0168634
"Sector 82, Gurugram, Haryana, India",28.3935416,76.9599852
"Urjanagar 1, Gandhinagar, Gujarat, India",23.1800084,72.6331243
"Kotturpuram, Chennai, Tamil Nadu, India",13.0180315,80.2410991
"Bhitoli Khurd, Uttar Pradesh, India",26.9359165,80.9332155
"HSR Trinity Appartments, Bandepalya, Muneshwara Na",12.898429,77.6384129
"Gothapatana Road, Shampur, Bhubaneswar, Odisha, In",20.2805054,85.7589137
"South Civil Line Road, Roorkee Cantonment, Roorkee",29.8451008,77.8799688
"Sector 9, Panchkula, Haryana, India",30.6953385,76.8436041
"A N College Patna, Boring Road, Sri Krishna Puri, ",25.6185051,85.1099544
Sector 19,28.4241063,77.312993
"Naubasta, Kanpur, Uttar Pradesh, India",26.3997318,80.3146488
"Kaikondrahalli Lake, Valliyamma Layout, Bengaluru,",12.9126925,77.6732975
"Model Town, Panipat, Haryana, India",29.388958,76.9599852
"Gandhinagar, Bhopal, Madhya Pradesh, India",23.3019153,77.3611549
"HIG Colony, Dollars Colony, R.M.V. 2nd Stage, Beng",13.0426382,77.5694646
"Vignan Nagar, Doddanekundi, Doddanekkundi, Bengalu",12.9745385,77.6805538
"Kachimet, Nagpur, Maharashtra, India",21.1433142,79.0164736
"Uttarahalli Hobli, Bengaluru, Karnataka 560061, In",12.9069823,77.552059
"Sector 27, Gurgaon",28.4657793,77.0917003
"Sector 38, Chandigarh",30.7454504,76.7444801
"Central Town, Basant City, Ludhiana, Punjab, India",30.8713604,75.7909247
"Ambience Fort, Attapur, Hyderabad, Telangana, Indi",17.3702136,78.4250989
"Telecom Layout, Jakkuru, Bengaluru, Karnataka, Ind",13.0693308,77.6170964
"Sulem Sarai, Dhoomanganj, Prayagraj, Uttar Pradesh",25.4518146,81.7873423
"Baranagar, West Bengal, India",22.6437356,88.3776948
"Sangam Vihar, South Delhi",28.498909,77.2389974
"Geeta Colony, New Delhi, Delhi, India",28.6539087,77.2712102
"Birsa Chowk, Hatia Station Road, Maharatoli, Ranch",23.3235428,85.3076034
"Dwarka Sector 17, Delhi, India",28.5920936,77.0262205
"Ramapuram, Chennai, Tamil Nadu, India",13.0317443,80.1816719
LOC Colony,28.454451,77.001553
"Balapur, Telangana, India",17.3088602,78.5062362
"Maruthi Nagar, Bengaluru, Karnataka, India",13.0054104,77.5375794
"Suchitra, Padmanagar Phase II, Quthbullapur, Hyder",17.5021509,78.4716424
"Geeta Nagar, Kanpur, Uttar Pradesh, India",26.4846401,80.292059
"Rakabganj, Agra, Uttar Pradesh, India",27.171347,78.0166847
Sector 21,28.5133929,77.0722759
"Suddagunte Palya, Bengaluru, Karnataka, India",12.9309643,77.6049218
"Jhunsi Police Chowki, Yojna-3, Jhusi, Uttar Prades",25.4288101,81.9138154
"Rohini, Sector 12",28.7281338,77.1219096
"Shenoy Nagar, Bharathi Puram, Shenoy Nagar, Chenna",13.0788204,80.2250286
Mayur Vihar,28.6146243,77.3121575
"Pakhowal Road, SBS Nagar, Ludhiana, Punjab, India",30.8776161,75.8172322
"Thadi Market, Mansarovar, Jaipur, Rajasthan",26.843879,75.77062
"HSR Layout Police Station, 27th Main Road, 1st Sec",12.9201596,77.6512411
Model Town,28.7158727,77.1910738
Maharani Bagh,28.5714978,77.2640259
"Suraj Nagar, Karan Vihar, Karnal, Haryana, India",29.6611067,77.0255008
"Nadra Bus Stand, Nadra Bus Stand, Hanumanganj Than",23.2652866,77.4053275
"Raja Bazar, Indrapuri, Patna, Bihar, India",25.6085612,85.0843782
West Rohtash Nagar,28.6775157,77.2883811
Gulabi Bagh,28.6724241,77.1919596
Sector 21C,28.4314078,77.2967033
Vatika Business Park Sector 49,28.4065129,77.0445416
"Gandhi Nagar, Muzaffarnagar, Uttar Pradesh, India",29.4714614,77.7294705
"Gurumurthy Reddy Layout, Dooravani Nagar, Bengalur",13.0108918,77.6732975
Greenfield Colony,28.4625737,77.2891038
"Civil Lines, Roorkee, Uttarakhand, India",29.8654242,77.886746
"Sharda Nagar, Kanpur, Uttar Pradesh, India",26.4869893,80.2836996
"Vikash Nagar, Delhi, India",28.6392345,77.0289342
Vishnu Garden,28.6519345,77.0940718
"Yelahanka, Bengaluru, Karnataka, India",13.1004849,77.5940134
Sector 34,28.4678155,77.3166476
"Deep Nagar, Ludhiana, Punjab, India",30.7832417,76.0116275
"Paldi, Ahmedabad, Gujarat, India",23.011157,72.5630675
"Sewa Sadan Eye Hospital Trust, Behind Civil Hospit",23.2729517,77.3400817
"Ottiyambakkam, Chennai, Tamil Nadu, India",12.8656865,80.1902963
"Netaji Nagar, Wanowrie, Pune, Maharashtra, India",18.4873377,73.8937271
"Kalyan Nagar, Bengaluru, Karnataka, India",13.0280047,77.6399711
