,locality,latitude,longitude,Pincode,Latitude,Longitude
64,"Khelgaon, Ranchi, Jharkhand, India",23.3891615,85.3936958,834012.0,23.37327,85.39328
65,"Timarpur, New Delhi",28.7003675,77.2207566,110054.0,28.70328,77.22286
66,"Grain Market, Sector 39, Chandigarh, India",30.7453177,76.7231905,140602.0,30.75,76.72
67,Pooth Kalan Resettlement,28.712809,77.077379,110099.0,28.7206,77.08091
68,"Sector 125, Noida, Uttar Pradesh, India",28.5437925,77.3310067,110019.0,28.54981,77.32106
69,"Western Express Highway Malad East, Western Expres",19.1830498,72.8578989,400097.0,19.18428,72.85172
70,"Akurdi, Pimpri-Chinchwad, Maharashtra, India",18.6504839,73.7785786,411035.0,18.65389,73.78142
71,"Lohegaon, Pune, Maharashtra, India",18.5944704,73.9275889,411047.0,18.59756,73.92692
72,"Durga Puri, Shahdara, Delhi, India",28.6882906,77.2933104,734005.0,28.6912,77.2901
73,Shalimar Bagh,28.7164134,77.1545846,110088.0,28.72467,77.14694
74,"Wagholi, Pune, Maharashtra, India",18.5807719,73.9787063,412207.0,18.58181,73.98158
75,Patel Nagar Sector 15,28.4589898,77.0434934,480884.0,28.45889,77.04369
76,"Preet Nagar, Amritsar, Punjab, India",31.6388367,74.9048006,143001.0,31.64,74.89
77,"Raj Nagar Extension, Ghaziabad, Uttar Pradesh, Ind",28.7039815,77.4329048,201015.0,28.68969,77.43457
78,"saket metro station, Saiyad ul Ajaib, Saket, New D",28.5204881,77.2015084,110030.0,28.51744,77.20553
79,"Old Manjunatha Layout, Akshaya Nagar, Ramamurthy N",13.0155441,77.6818863,560016.0,13.01408,77.68275
80,"Sirsi Road, Vinayak City, Meena Wala, Bindayaka",26.921778,75.6832775,302045.0,26.92206,75.68768
81,"Palam Vihar, Gurugram, Haryana, India",28.5127828,77.0368925,122017.0,28.50723,77.03155
82,"Borabanda, Hyderabad, Telangana, India",17.4534663,78.4130138,500045.0,17.44789,78.42883
83,Chandan Vihar Sector 110,28.5127438,77.0283798,122017.0,28.50723,77.03155
84,"Nizampet, Hyderabad, Telangana, India",17.5196675,78.3778542,500090.0,17.51764,78.3825
85,"Sector 28, Faridabad, Haryana, India",28.4343934,77.3123396,121010.0,28.4391,77.3009
86,"Vasai West, Vasai, Maharashtra, India",19.3666371,72.8160976,401201.0,19.36664,72.8161
87,"Malad West, Mumbai, Maharashtra, India",19.1827551,72.8401539,400064.0,19.18708,72.84158
88,"Kaggadasapura Main, Varsova Layout, Kaggadasapura,",12.9856993,77.6720163,560016.0,12.98539,77.67714
89,"Narepally, Secunderabad, Telangana, India",17.4293729,78.6137993,500098.0,17.40825,78.60156
90,"Ganesh Nagar 2, New Delhi",28.6274493,77.2828969,110092.0,28.627,77.28503
91,Bhajan Pura,28.7004534,77.2591938,110053.0,28.70208,77.26425
92,"Awadhpuri, Bhopal, Madhya Pradesh, India",23.2279698,77.4960078,462022.0,23.24,77.4896
93,"Parangi Palaya, Sector 2, HSR Layout, Bengaluru, K",12.9097506,77.6486011,560102.0,12.91411,77.63715
94,"Bandra East, Mumbai, Maharashtra, India",19.060533,72.8493479,400051.0,19.06167,72.84794
95,"Domlur, Bengaluru, Karnataka, India",12.9609857,77.6387316,560032.0,12.96797,77.64258
96,"Palm Meadows, Avenue 2A, Phase 2, Whitefield, Beng",12.9593745,77.7398075,577005.0,12.95582,77.74092
97,"Dharavi Slums, Dharavi, Mumbai, Maharashtra, India",19.0464017,72.8600404,400022.0,19.04423,72.8642
98,"Shyam Nagar, Kanpur, Uttar Pradesh, India",26.4080866,80.3660256,208015.0,26.41269,80.37178
99,"Vydehi Institute of Medical Science and Hospital, ",12.975496,77.729381,577599.0,12.96715,77.7338
100,Pari Chowk,28.4652411,77.5113083,201312.0,28.45221,77.52516
101,"Matunga, Mumbai, Maharashtra, India",19.0268747,72.8553352,400019.0,19.02808,72.8523
102,"Sector - 106, Noida, Uttar Pradesh, India",28.5359025,77.3920128,201314.0,28.53552,77.39103
103,"Bilandpur, Gorakhpur, Uttar Pradesh, India",26.7496055,83.3760189,273001.0,26.75121,83.37627
104,"BSK II Stage, Banashankari, Bengaluru, Karnataka, ",12.9248711,77.5662406,560070.0,12.92642,77.56966
105,"Saroornagar, Telangana, India",17.3529457,78.5356595,500035.0,17.35269,78.5355
106,"Sanjaynagar, Bengaluru, Karnataka, India",13.0369229,77.5785134,560024.0,13.03305,77.59066
107,"Sector 30, Gurugram, Haryana, India",28.4603762,77.0578855,122001.0,28.45961,77.06728
108,"Arjunganj, Lucknow, Uttar Pradesh, India",26.8092562,80.991803,226030.0,26.79472,81.00783
109,Sector 122,28.5930495,77.3970354,201307.0,28.58493,77.38699
110,"Malkajgiri, Secunderabad, Telangana, India",17.4503375,78.5322481,500017.0,17.43925,78.53131
111,"Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh",26.8661776,81.0064442,226010.0,26.86715,81.00308
112,"Shesh Nagar, Shaktimata Nagar, Kharbi, Nagpur, Mah",21.130934,79.1315687,440024.0,21.13492,79.12442
113,"Rajarajeshwari Nagar, Remco Bhel Layout, Ideal Hom",12.9277822,77.5153541,560098.0,12.92065,77.5108
114,"My Home Jewel Road, Madinaguda, Chanda Nagar, Hyde",17.4928393,78.3372079,502032.0,17.50303,78.31136
115,"Dasghara Village, Inderpuri",28.620876,77.164272,110055.0,28.6123,77.17
116,"Khar West, Mumbai, Maharashtra, India",19.0716903,72.8341267,400052.0,19.07014,72.83507
117,"Krishnaraju Layout, Amalodbhavi Nagar, Panduranga ",12.8988155,77.5970433,560076.0,12.89865,77.60103
118,"Jnana Jyothi Nagar, Gnana Bharathi, Bengaluru, Kar",12.9413206,77.4974416,560056.0,12.95,77.50174
119,"Chandan Nagar, Pune, Maharashtra, India",18.5635511,73.9325552,411014.0,18.54364,73.92511
120,"Shivaji Putla Chowk, Pimpri Gaon, Pimpri Colony, P",18.6099378,73.8006991,411017.0,18.62319,73.80158
121,"Sambhaji Nagar, Mhada Colony, Andheri East, Mumbai",19.1141031,72.8467477,400069.0,19.11678,72.84814
122,"Sarakki Main Road, Sarakki Nagar, 1st Phase, J. P.",12.9138435,77.5788991,560078.0,12.91194,77.58687
123,"Verka, Amritsar, Punjab, India",31.6655013,74.9296456,143501.0,31.67,74.93
124,"Amravati Enclave Panchkula, Amravati Enclave, Panc",30.752979,76.911403,133301.0,30.77428,76.89483
125,"Ahmedabad, Gujarat, India",23.022505,72.5713621,380001.0,23.0197,72.5796
126,"Arekere, Bengaluru, Karnataka, India",12.8873875,77.5968866,560076.0,12.89865,77.60103
127,Bagdola,28.5715292,77.0729954,110077.0,28.57153,77.073
128,"Amrita Nagar, Choodasandra, Bengaluru, Karnataka, ",12.8928233,77.6786656,577534.0,12.90668,77.6757
129,"Warje, Pune, Maharashtra, India",18.4864727,73.796834,411058.0,18.47581,73.79767
130,"East Krishna Nagar, Delhi, India",28.6591439,77.2882833,110032.0,28.66683,77.29464
131,"Kumbra, Sahibzada Ajit Singh Nagar, Punjab, India",30.6884695,76.7260057,160062.0,30.68336,76.73561
132,"Arya Nagar, Lucknow, Uttar Pradesh, India",26.8363776,80.9173173,226004.0,26.83539,80.9181
133,"Prabhadevi, Mumbai, Maharashtra, India",19.0158466,72.8279973,400025.0,19.01058,72.82853
134,"Govindaraja Nagar Ward, Govindaraja Nagar, Vijayan",12.9693311,77.5218127,560040.0,12.95831,77.52868
135,Mahendru Enclave,28.702697,77.1851807,466116.0,28.70158,77.18949
136,"Parel, Mumbai, Maharashtra, India",19.0021567,72.8415793,400012.0,19.00161,72.84422
137,"Sector 55, Gurgaon, Haryana, India",28.4280506,77.1096829,465441.0,28.42108,77.11089
138,"Vasant Vihar, Indra Nagar Colony, Dehradun, Uttara",30.3153688,77.9995589,248145.0,30.3165,78.0032
139,"Charni Road, Girgaon, Mumbai, Maharashtra, India",18.9517545,72.8183688,400004.0,18.95325,72.81939
140,"Kaverappa Layout, Kadubeesanahalli, Bengaluru, Kar",12.933996,77.6979885,560087.0,12.93557,77.70575
141,"Jagadgiri Gutta, Hyderabad, Telangana, India",17.5073336,78.4077422,500072.0,17.49292,78.40906
142,"Nikol, Ahmedabad, Gujarat, India",23.0499889,72.6699673,380049.0,23.04,72.66
143,"Budh Bazaar, Moradabad, Uttar Pradesh, India",28.8327967,78.7688728,244001.0,28.83,78.77
144,"Fatepura, Vadodara, Gujarat, India",22.2965189,73.2212438,390017.0,22.29597,73.21525
145,"Ichchhapor, Limla, Gujarat, India",21.1935636,72.7289272,394810.0,21.196,72.74081
146,"Chromepet, Chennai, Tamil Nadu, India",12.951611,80.1461663,600044.0,12.95244,80.14064
147,"Sector 56, Gurgaon",28.4262171,77.096765,122006.0,28.42272,77.10314
148,"BSK II Stage, Banashankari, Bengaluru, Karnataka,",12.9248711,77.5662406,560070.0,12.92642,77.56966
149,"Maruthi Extension Vinayaka Layout, MT Layout, Mall",13.0031614,77.5640913,560055.0,13.00905,77.56287
150,"Dharampura, Chheharta, Amritsar, Punjab, India",31.6265411,74.7973392,143105.0,31.63,74.8
151,Bajaj Nagar,26.8657486,75.8013086,302015.0,26.87343,75.79925
152,"Belilious Park, Belilious Road, Tikiapara, Howrah,",22.5954757,88.3283431,711106.0,22.60322,88.33089
153,"Ghatkopar West, Mumbai, Maharashtra, India",19.0908063,72.9076669,303502.0,19.09177,72.91004
154,"Wanowrie, Pune, Maharashtra, India",18.4847666,73.9022123,440016.0,18.50206,73.9085
155,"Maninagar Railway Station, Rambagh, Maninagar, Ahm",22.9972477,72.6121365,380008.0,22.99128,72.61444
156,"DRDO, Pashan, Pune, Maharashtra, India",18.5279727,73.7843414,411021.0,18.53722,73.79506
157,"Sector 38, Gurgaon",28.4357613,77.0406147,123001.0,28.44861,77.02931
158,"Jatin Das Park Metro, Bakul Bagan, Kalighat, Kolka",22.524262,88.346489,700026.0,22.5235,88.34406
159,"Lingampally, Telangana, India",17.4836979,78.3158338,502032.0,17.48222,78.30219
160,"Khamla, Nagpur, Maharashtra, India",21.1075627,79.0604509,440025.0,21.11064,79.06097
161,"Kopar Khairane, Navi Mumbai, Maharashtra, India",19.102769,73.0090013,400709.0,19.1035,73.00442
162,Golf Link Society,28.657591,77.473528,202123.0,28.66765,77.46876
163,"HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka, I",13.0191445,77.6464534,560043.0,13.01378,77.65239
164,Hira Nagar Sector 15-1,28.451459,77.019118,122001.0,28.44896,77.01923
165,"Rahatani, Pimpri-Chinchwad, Maharashtra, India",18.6047038,73.7871295,411017.0,18.62319,73.80158
166,"Partap Singhwala, Ludhiana, Punjab 141008, India",30.924375,75.7749395,141008.0,30.92,75.78
167,Palam,28.5900637,77.0887828,110045.0,28.59117,77.09056
168,"Patel Nagar, Gurgaon, Haryana, India",28.4549833,77.0387868,480884.0,28.45889,77.04369
169,"Preet Vihar, Delhi, India",28.63642,77.2927538,110092.0,28.635,77.28956
170,"Bommanahalli, Bengaluru, Karnataka, India",12.9029804,77.6241936,560068.0,12.90699,77.63084
171,"DLW Varanasi Uttar Pradesh, DLW Road, Sundarpur, N",25.2860536,82.9686447,221004.0,25.28539,82.96042
172,Janakpuri,28.621899,77.0878385,110058.0,28.62411,77.07936
173,"Satellite, Ahmedabad, Gujarat, India",23.0301227,72.5178289,380015.0,23.02714,72.51756
174,"Bagbazar, Kolkata, West Bengal, India",22.6026086,88.3658993,700003.0,22.60278,88.36722
175,"Khalasi Line, Kanpur, Uttar Pradesh, India",26.4879052,80.3185252,208002.0,26.48431,80.31944
176,"Shopprix Mall, Surya Palace Colony, Meerut, Uttar ",28.9478212,77.6756476,250002.0,28.95999,77.6813
177,"Malad East, Mumbai, Maharashtra, India",19.1808735,72.8574558,400097.0,19.18428,72.85172
178,"Panch Pakhdi, Thane West, Thane, Maharashtra, Indi",19.1954727,72.9652491,400608.0,19.20097,72.96978
179,"Brookefield, Bengaluru, Karnataka, India",12.9712301,77.7148376,560037.0,12.95886,77.71603
180,"Rabodi, Thane West, Thane, Maharashtra, India",19.2038388,72.9851782,421402.0,19.2,72.9833
181,"Sector 85, Faridabad, Haryana, India",28.4047816,77.3559795,121002.0,28.4043,77.37407
182,"MDDA Colony, Upper Badrish Colony, Dharampur, Dehr",30.3036706,78.0636351,248001.0,30.30981,78.06161
183,"Pedda Waltair Junction, Near Visakha Eye Hospital,",17.7326441,83.3334095,530017.0,17.73356,83.33894
184,"Teachers Colony, Vidyaranyapura, Bengaluru, Karnat",13.0840992,77.5548747,560097.0,13.07937,77.55954
185,"Lower Parel Station, Railway Workshop Walkway, Low",18.995661,72.8297404,400013.0,18.9965,72.82561
186,"Amrutahalli, Bengaluru, Karnataka, India",13.0658792,77.6042056,560092.0,13.05689,77.59854
187,"Gandhi Park, Jali Kothi, Meerut, Uttar Pradesh, In",28.9802515,77.6986619,250002.0,28.98,77.6993
188,Garauli Khurd,28.4459271,76.9751074,323602.0,28.4388,77.00509
189,"Antop Hill, Mumbai, Maharashtra, India",19.0283439,72.869804,400037.0,19.02708,72.86331
190,"Nanda Nagar, Indore, Madhya Pradesh, India",22.7446794,75.8782344,452011.0,22.74433,75.87725
191,"Govindpuri, New Delhi, Delhi, India",28.5354383,77.2639326,110020.0,28.54328,77.25785
192,"Kannamangala, Karnataka 560067, India",13.0271867,77.7702406,562114.0,13.03,77.79
193,"Lal Kuan, Ghaziabad, Uttar Pradesh, India",28.6331684,77.4730653,201009.0,28.61779,77.47737
194,"Bopal, Ahmedabad, Gujarat, India",23.0336769,72.4634117,380058.0,23.0371,72.4588
195,"Sector 62, Faridabad, Haryana, India",28.3096315,77.3295708,202125.0,28.31949,77.35039
196,"Karelibagh Bhagini Samaj Trust, Pani Tanki Road, K",22.3193869,73.2017816,390018.0,22.31783,73.19764
197,"Hale Devasandra, Krishnarajapura, Bengaluru, Karna",13.0027035,77.7015664,560036.0,13.00517,77.696
198,"Punjab Mandi Board Colony, Chandi Path, Sector 66,",30.67924,76.7374398,160062.0,30.68336,76.73561
199,"Model Town Extension, Model Town, Ludhiana, Punjab",30.8825926,75.8416083,141002.0,30.89497,75.84136
200,"Mahendra Enclave, Shastri Nagar, Ghaziabad, Uttar ",28.6688884,77.4694616,202123.0,28.66765,77.46876
201,"Santosh Nagar, Hyderabad, Telangana, India",17.3472352,78.5083082,500059.0,17.35372,78.50936
202,Rajendra Nagar,28.6875186,77.3652921,201005.0,28.6933,77.35757
203,"Badlapur Railway Station Foot Over Bridge, Sarvoda",19.1667986,73.2387585,421503.0,19.16328,73.23997
204,"Bhanvarkuan, Scheme No 74C, Vijay Nagar, Indore, M",22.7570623,75.8821865,452010.0,22.76031,75.88633
205,"Pimpripada, Malad East, Mumbai, Maharashtra, India",19.1797774,72.8685327,400065.0,19.17561,72.87778
206,"Birhana Road, Kanpur, Uttar Pradesh, India",26.4626925,80.3543223,208001.0,26.46394,80.35642
207,"Gandhi Park, Gandhi Road, Meerut Cantt, Meerut, Ut",29.0073395,77.7027737,250001.0,29.00889,77.69853
208,"Dooravani Nagar, Bengaluru, Karnataka, India",13.0029587,77.6677669,560016.0,13.00447,77.68331
209,"Vesu, Surat, Gujarat, India",21.1417761,72.7709415,395007.0,21.13953,72.77069
210,"Bhoganhalli, Bengaluru, Karnataka, India",12.9257252,77.7002566,560087.0,12.93557,77.70575
211,"Sector 18, Ghaziabad, Uttar Pradesh, India",28.6537239,77.352183,201012.0,28.65328,77.35669
212,"Rajouri Garden, New Delhi, Delhi, India",28.6415294,77.1209145,110027.0,28.64269,77.12322
213,"Kandivali West, Mumbai, Maharashtra, India",19.1998211,72.842594,400067.0,19.204,72.85
214,Nilothi,28.6511815,77.0593246,110041.0,28.65118,77.05933
215,"Laxman Nagar, Baner, Pune, Maharashtra, India",18.5700156,73.7727908,411045.0,18.56862,73.76661
216,"Sector 102, Gurugram, Haryana, India",28.4749763,76.971507,122006.0,28.48556,77.00906
217,"Awas Vikas, Kalyanpur, Kanpur, Uttar Pradesh, Indi",26.4873523,80.2712959,208024.0,26.49706,80.26739
218,"Thane, Station Road, Kopri, Thane East, Thane, Mah",19.1837635,72.9707287,421312.0,19.18308,72.96737
219,"Juhu, Mumbai, Maharashtra, India",19.098821,72.8320717,400056.0,19.09889,72.84008
220,"Aundh Road, Sindh Society, Aundh, Pune, Maharashtr",18.5574341,73.8170839,411067.0,18.5634,73.81289
221,"Sector 89, Faridabad, Haryana, India",28.4178524,77.3654611,121002.0,28.4053,77.37445
222,"Hotel Mansarovar Palace, Ward 27, Mansarovar Secto",26.854235,75.761311,326037.0,26.85394,75.76304
223,Indra Colony Sector 52,28.4378835,77.0701175,122003.0,28.4465,77.07362
224,"Malviya Nagar, New Delhi, Delhi, India",28.5342332,77.2094473,110044.0,28.53,77.21
225,"Vejalpur, Ahmedabad, Gujarat, India",23.0061051,72.5164075,380051.0,23.00489,72.52089
226,"Phase 10, Sector 64, Mohali, Punjab, India",30.6861221,76.7408666,160062.0,30.68336,76.73561
227,"Westend Mall, Near Parihar Chowk, Harmony Society,",18.561618,73.806919,411067.0,18.5634,73.81289
228,"Central Town, Jalandhar, Punjab, India",31.3268965,75.5837058,144106.0,31.32672,75.58685
229,Garden Green Sector 52,28.4354159,77.0880443,122003.0,28.4465,77.07362
230,"Chetana Nagar, Sindhi Colony, Aurangabad, Maharash",19.8705272,75.3372095,804428.0,19.87,75.34
231,"Adarsh Palm Retreat, Bellandur, Bengaluru, Karnata",12.9234947,77.6851069,560103.0,12.92992,77.67544
232,"Sector 5, Imt Manesar, Gurugram, Haryana, India",28.3688093,76.9268541,122052.0,28.342,76.93647
233,"Kaikondrahalli, Bengaluru, Karnataka, India",12.9138124,77.6849868,577534.0,12.90668,77.6757
234,"Hulimavu, Bengaluru, Karnataka, India",12.8718155,77.6021817,560076.0,12.87323,77.59707
235,Yamuna Vihar,28.7009403,77.2721047,110053.0,28.70067,77.27764
236,"Dhakuria, Kolkata, West Bengal, India",22.5104166,88.3710975,700031.0,22.50939,88.37089
237,"Puda Colony, Green Avenue, Amritsar, Punjab, India",31.6507466,74.8678915,143001.0,31.66,74.87
238,"Hoodi Circle, Hudi, Hoodi, Bengaluru, Karnataka",12.9923184,77.7160509,560048.0,12.99221,77.7159
239,"Kondapur, Hyderabad, Telangana, India",17.4622103,78.3568492,679334.0,17.46858,78.36739
240,"Wakad Chowk Road, Shankar Kalat Nagar, Wakad, Pimp",18.5950158,73.7634952,411045.0,18.57128,73.76569
241,"Saidabad, Hyderabad, Telangana, India",17.3573882,78.5112407,500059.0,17.35372,78.50936
242,Nirvana Country Sector 50,28.4124299,77.06652,122103.0,28.40025,77.06753
243,"Sector 7-C, Sector 7",30.7325211,76.8007301,160019.0,30.72636,76.79619
244,"Sector 9A, Gurgaon",28.4711039,76.9981469,122006.0,28.48556,77.00906
245,Kishan Garh Village,28.5183894,77.1670527,110070.0,28.51397,77.1655
246,"Santacruz West, Mumbai, Maharashtra, India",19.0815087,72.8376755,400054.0,19.08236,72.83406
247,"Jhansi, Uttar Pradesh, India",25.4484257,78.5684594,284001.0,25.44913,78.56892
248,"Gandhinagar, Gujarat, India",23.2156354,72.6369415,382006.0,23.21636,72.63732
249,"Mayur Vihar Phase 1, New Delhi, Delhi, India",28.6065926,77.2936763,110091.0,28.607,77.29458
250,"Avantika Nagar, Indore, Madhya Pradesh, India",22.7401845,75.837054,452015.0,22.73672,75.84942
251,"Anwarganj, Kanpur, Uttar Pradesh, India",26.457218,80.3289701,208003.0,26.45681,80.33294
252,"Ashoka Pillar Road, 2nd Block, Jaya Nagar East, Ja",12.9408841,77.5851445,560011.0,12.9367,77.58559
253,"Hiranandani Estate, Thane West, Thane, Maharashtra",19.2591372,72.9844401,400607.0,19.23767,72.97778
254,"Zirakpur, Punjab, India",30.6425496,76.8173359,465691.0,30.65181,76.81002
255,Masoodpur,28.528944,77.1521114,110070.0,28.5285,77.15789
256,"Sector 1, Greater Noida, Uttar Pradesh, India",28.5668205,77.4386429,201306.0,28.53177,77.43423
257,"Hadapsar, Pune, Maharashtra, India",18.508934,73.9259102,411028.0,18.50331,73.93122
258,"Samarth Colony, Baner, Pune, Maharashtra, India",18.5561385,73.7746293,411069.0,18.5624,73.7868
259,"Azad Society, Bimanagar, Ambawadi, Ahmedabad, Guja",23.0285662,72.5347589,380015.0,23.0316,72.5365
260,"Om Purwa, Kanpur, Uttar Pradesh, India",26.4315898,80.3818709,208007.0,26.43069,80.38389
261,Guru Gobind Singh Marg,28.6605232,77.1869728,142022.0,28.65541,77.18518
262,NSG Campus,28.3425996,76.9463841,122051.0,28.34425,76.94384
263,Gaur City,28.6123351,77.4232158,201016.0,28.62941,77.43291
264,"Musheerabad, Zamistanpur, Hyderabad, Telangana, In",17.4196548,78.4990004,456441.0,17.41369,78.5029
265,"Kavadiguda, Hyderabad, Telangana, India",17.4170509,78.4906774,110045.0,17.41366,78.48383
266,"Action Area II, Newtown, New Town, West Bengal, In",22.6036931,88.4718747,700135.0,22.59335,88.48035
267,Narela,28.8539597,77.0917838,110040.0,28.85081,77.08806
268,"Ankappa Layout, Uttarahalli Hobli, Bengaluru, Karn",12.9104677,77.5529857,560061.0,12.9089,77.54918
269,"Ashapur Chauraha, Mavaiya, Sarnath, Varanasi, Utta",25.3612851,83.025761,801305.0,25.35,83.03
270,Patparganj,28.6199877,77.292355,110001.0,28.61675,77.29344
